Method,SelectedLambda,NDCG@20,Recall@20,HitRate@20
LightGCN,0.0,0.024855910425728274,0.0655,0.0655
LightGCN + Raw Profile,1.0,0.029232527565667167,0.074,0.074
LightGCN + Remove Repair,1.0,0.029346362690015643,0.0745,0.0745
LightGCN + Evidence-Weighted Repair,1.0,0.02910799253559647,0.0735,0.0735
