Method,HarmRate,PositiveGainRate,MeanDeltaNDCG@20,PositiveGainSum,NegativeGainSum,GainHarmRatio
LightGCN,0.0,0.0,0.0,0.0,0.0,
LightGCN + Raw Profile,0.0365,0.0505,0.004376617139938892,24.619035579638552,-15.86580129976077,1.5517045193305028
LightGCN + Remove Repair,0.0365,0.051,0.0044904522642873704,24.8467058283355,-15.86580129976077,1.5660542672187725
LightGCN + Evidence-Weighted Repair,0.0365,0.05,0.004252082109868196,24.39549899305957,-15.891334773323182,1.5351447402651377
