Method,HarmRate,PositiveGainRate,MeanDeltaNDCG@20,PositiveGainSum,NegativeGainSum,GainHarmRatio
LightGCN,0.0,0.0,0.0,0.0,0.0,
LightGCN + Raw Profile,0.019,0.021,0.0010398121011003267,5.508580172151154,-4.468768071050826,1.2326842844757027
LightGCN + Remove Repair,0.019,0.021,0.0004861162924379774,4.911060612649952,-4.424944320211975,1.109858171597217
LightGCN + Evidence-Weighted Repair,0.02,0.021,-0.0002748305849168167,4.936653741599931,-5.211484326516748,0.9472644322235718
