Method,SelectedLambda,NDCG@20,Recall@20,NDCGGainVsBase,NDCGGainVsDirect,HarmRate,GainHarmRatio,UCR,WeightedUCR,ProfileDriftScore,EstimatedCostUSD_TestUsers,CostRatioVsDirect_TestUsers,EstimatedCostUSD_ValTestUnique,WinsVsDirect,TiesVsDirect,LossesVsDirect
LightGCN,0.0,0.024855910425728274,0.0655,0.0,-0.006340163432334844,0.0,inf,,,,0.0,0.0,,,,
DeepSeek Direct Rerank,,0.03119607385806312,0.0745,0.006340163432334844,0.0,0.036,1.5682730208600244,,,,0.5962927600000001,1.0,,,,
Profile Rerank Raw,1.0,0.02780546785623266,0.0695,0.0029495574305043876,-0.003390606001830457,0.035,1.4209421095844699,0.1226730310262529,0.1226730310262529,0.2400589887947498,0.26600098000000005,0.44609124551503865,0.44567110000000004,69.0,1822.0,109.0
Profile Rerank Remove,1.0,0.02780546785623266,0.0695,0.0029495574305043876,-0.003390606001830457,0.035,1.4209421095844699,0.0,0.0,0.2268809541967034,0.26600098000000005,0.44609124551503865,0.44567110000000004,69.0,1822.0,109.0
Profile Rerank EGPR,1.0,0.02798493013171209,0.0695,0.003129019705983817,-0.0032111437263510276,0.0355,1.444589033106605,0.1226730310262529,0.0086915026155217,0.2257472429415396,0.26600098000000005,0.44609124551503865,0.44567110000000004,70.0,1820.0,110.0
