uid,target,NDCG@20,Recall@20,HitRate@20
572,2795,0.0,0.0,0.0
574,533,0.0,0.0,0.0
577,2569,0.0,0.0,0.0
578,2373,0.0,0.0,0.0
579,2993,0.0,0.0,0.0
583,3259,0.0,0.0,0.0
589,1933,0.0,0.0,0.0
592,2971,0.0,0.0,0.0
597,1290,0.0,0.0,0.0
600,1692,0.0,0.0,0.0
601,3195,0.0,0.0,0.0
607,3039,0.0,0.0,0.0
608,1012,0.0,0.0,0.0
609,2608,0.0,0.0,0.0
610,3150,0.0,0.0,0.0
612,1938,0.0,0.0,0.0
613,1647,0.0,0.0,0.0
619,610,0.0,0.0,0.0
621,1841,0.0,0.0,0.0
623,3165,0.0,0.0,0.0
624,878,0.0,0.0,0.0
627,3083,0.0,0.0,0.0
632,1865,0.0,0.0,0.0
635,2602,0.0,0.0,0.0
637,3183,0.0,0.0,0.0
638,679,0.0,0.0,0.0
642,3121,0.0,0.0,0.0
645,3137,0.0,0.0,0.0
648,330,0.0,0.0,0.0
649,2947,0.0,0.0,0.0
652,1939,0.43067655807339306,1.0,1.0
657,1087,0.0,0.0,0.0
658,1387,0.0,0.0,0.0
659,2882,0.0,0.0,0.0
660,2499,0.0,0.0,0.0
664,1231,0.0,0.0,0.0
671,1830,0.0,0.0,0.0
674,2936,0.2890648263178879,1.0,1.0
677,2186,0.0,0.0,0.0
678,3037,0.0,0.0,0.0
679,2180,0.0,0.0,0.0
683,309,0.0,0.0,0.0
685,2965,0.0,0.0,0.0
686,2641,0.0,0.0,0.0
687,3058,0.0,0.0,0.0
690,1755,0.0,0.0,0.0
695,715,0.0,0.0,0.0
696,2073,0.0,0.0,0.0
702,1743,0.0,0.0,0.0
703,2456,0.0,0.0,0.0
704,1224,0.0,0.0,0.0
705,1493,0.0,0.0,0.0
708,2861,0.0,0.0,0.0
709,3221,0.0,0.0,0.0
712,1403,0.0,0.0,0.0
717,837,0.0,0.0,0.0
718,321,0.27023815442731974,1.0,1.0
722,1261,0.6309297535714575,1.0,1.0
723,1417,0.0,0.0,0.0
725,2023,0.0,0.0,0.0
736,3183,0.0,0.0,0.0
737,1401,0.0,0.0,0.0
738,2094,0.27894294565112987,1.0,1.0
739,2745,0.0,0.0,0.0
744,3259,0.0,0.0,0.0
751,980,0.43067655807339306,1.0,1.0
755,2466,0.23981246656813146,1.0,1.0
757,2673,0.0,0.0,0.0
759,1970,0.0,0.0,0.0
761,1949,0.0,0.0,0.0
762,1875,0.0,0.0,0.0
763,2347,0.0,0.0,0.0
764,665,0.0,0.0,0.0
769,2749,0.0,0.0,0.0
770,821,0.0,0.0,0.0
772,2395,0.3010299956639812,1.0,1.0
774,2880,0.0,0.0,0.0
780,2095,0.0,0.0,0.0
781,2745,0.0,0.0,0.0
788,2397,0.0,0.0,0.0
796,749,0.0,0.0,0.0
799,1051,0.0,0.0,0.0
800,1691,0.0,0.0,0.0
804,2315,0.0,0.0,0.0
805,3244,0.0,0.0,0.0
809,931,0.0,0.0,0.0
810,2094,0.26264953503719357,1.0,1.0
812,321,0.43067655807339306,1.0,1.0
814,2456,0.0,0.0,0.0
822,1420,0.0,0.0,0.0
826,1088,0.0,0.0,0.0
828,2202,0.0,0.0,0.0
829,2868,0.0,0.0,0.0
830,2665,0.0,0.0,0.0
832,2343,1.0,1.0,1.0
837,2105,0.0,0.0,0.0
838,2357,0.0,0.0,0.0
842,998,0.0,0.0,0.0
845,976,0.38685280723454163,1.0,1.0
846,1132,0.0,0.0,0.0
847,3198,0.0,0.0,0.0
850,1514,0.0,0.0,0.0
853,510,0.0,0.0,0.0
856,1608,0.0,0.0,0.0
858,783,0.0,0.0,0.0
861,3182,0.0,0.0,0.0
862,3037,0.0,0.0,0.0
864,2752,0.0,0.0,0.0
865,232,0.38685280723454163,1.0,1.0
870,2456,0.0,0.0,0.0
888,3048,0.0,0.0,0.0
889,2682,0.0,0.0,0.0
891,965,1.0,1.0,1.0
895,3125,0.0,0.0,0.0
898,2723,0.0,0.0,0.0
899,2618,0.0,0.0,0.0
900,1297,0.0,0.0,0.0
903,2522,0.0,0.0,0.0
908,3087,0.0,0.0,0.0
909,1645,0.0,0.0,0.0
911,3083,0.0,0.0,0.0
913,1934,0.0,0.0,0.0
918,3236,0.0,0.0,0.0
