CandidateSet,Method,HarmRate,PositiveGainRate,MeanDeltaNDCG@20,PositiveGainSum,NegativeGainSum,GainHarmRatio
50,LightGCN,0.0,0.0,0.0,0.0,0.0,
50,LightGCN + Raw Profile,0.02,0.02,0.000488951901055957,4.835129659532126,-4.346177758476168,1.1125015883444656
50,LightGCN + Remove Repair,0.019,0.02,-0.0001218435419953362,4.381243058675221,-4.5030866006705565,0.9729422165726965
50,LightGCN + Evidence-Weighted Repair,0.019,0.02,-0.0002626826164770082,4.138050305659058,-4.400732922136066,0.940309348209774
100,LightGCN,0.0,0.0,0.0,0.0,0.0,
100,LightGCN + Raw Profile,0.019,0.021,0.0010398121011003267,5.508580172151154,-4.468768071050826,1.2326842844757027
100,LightGCN + Remove Repair,0.019,0.021,0.0004861162924379774,4.911060612649952,-4.424944320211975,1.109858171597217
100,LightGCN + Evidence-Weighted Repair,0.02,0.021,-0.0002748305849168167,4.936653741599931,-5.211484326516748,0.9472644322235718
