Method,SelectedLambda,NDCG@20,Recall@20,HitRate@20
LightGCN,0.0,0.004263432588494831,0.011,0.011
LightGCN + Raw Profile,0.5,0.004863618540465494,0.012,0.012
LightGCN + Remove Repair,0.3,0.004975085182229147,0.013,0.013
LightGCN + Evidence-Weighted Repair,0.5,0.004812472375885085,0.011,0.011
