uid,input_tokens,output_tokens,latency_seconds
101,469.0,232.0,2.930715799331665
114,155.0,180.0,2.227689266204834
149,296.0,204.0,2.706054210662842
244,208.0,208.0,2.604409694671631
256,451.0,199.0,2.9419333934783936
275,206.0,221.0,2.9066081047058105
282,456.0,207.0,3.392298460006714
291,133.0,5.0,0.7216851711273193
309,254.0,191.0,2.068319082260132
402,201.0,202.0,2.667440891265869
447,133.0,7.0,0.9613494873046875
463,437.0,209.0,2.5108134746551514
499,142.0,190.0,2.4137980937957764
519,212.0,219.0,2.503056526184082
547,158.0,207.0,2.3446547985076904
555,204.0,208.0,2.9155683517456055
557,225.0,225.0,2.78975248336792
587,149.0,192.0,2.7030160427093506
592,163.0,207.0,2.282750129699707
663,133.0,7.0,0.7785401344299316
743,532.0,227.0,3.218407154083252
772,169.0,197.0,2.5083601474761963
781,461.0,228.0,2.521625280380249
973,133.0,7.0,0.6890671253204346
976,240.0,205.0,2.4838852882385254
1006,488.0,206.0,2.5395493507385254
1027,193.0,200.0,2.724203586578369
1029,438.0,209.0,2.4830334186553955
1035,147.0,197.0,2.4308969974517822
1049,467.0,206.0,2.8912317752838135
1074,134.0,7.0,1.010023593902588
1096,181.0,190.0,2.0119261741638184
1281,152.0,194.0,2.3943026065826416
1344,199.0,210.0,2.9747462272644043
1375,284.0,204.0,2.787576913833618
1377,297.0,198.0,2.4950039386749268
1379,134.0,7.0,1.2904248237609863
1399,134.0,7.0,0.745391845703125
1470,212.0,195.0,2.5624308586120605
1492,202.0,196.0,2.3954386711120605
1494,134.0,7.0,0.9895501136779785
1510,139.0,196.0,2.588697671890259
1517,263.0,211.0,2.6819348335266113
1550,555.0,233.0,3.4044337272644043
1595,163.0,206.0,2.644411087036133
1610,134.0,7.0,0.608206033706665
1684,494.0,182.0,2.2692372798919678
1887,157.0,206.0,2.9510560035705566
1888,441.0,194.0,2.4661688804626465
1894,134.0,7.0,1.074284315109253
1930,193.0,208.0,2.217494487762451
2027,521.0,190.0,2.3571724891662598
2287,196.0,184.0,2.3687942028045654
2299,216.0,177.0,2.6620450019836426
2360,235.0,203.0,2.419823408126831
2380,418.0,212.0,2.7318780422210693
2458,163.0,203.0,2.9527058601379395
2474,476.0,214.0,2.9519801139831543
2509,178.0,227.0,3.0366389751434326
2522,134.0,7.0,0.7987687587738037
2560,273.0,200.0,2.6034882068634033
2636,213.0,247.0,3.432675838470459
2637,261.0,191.0,3.027230739593506
2646,418.0,223.0,2.7444331645965576
2748,273.0,211.0,2.8430099487304688
2783,186.0,189.0,2.214829444885254
2858,159.0,182.0,2.3941080570220947
2864,231.0,187.0,2.285085678100586
2873,439.0,236.0,3.194328784942627
2956,422.0,202.0,3.198770046234131
2971,141.0,185.0,2.3984642028808594
3049,458.0,218.0,2.784165859222412
3063,188.0,197.0,2.5985894203186035
3145,199.0,191.0,2.293142557144165
3200,460.0,217.0,3.0887198448181152
3241,455.0,215.0,2.6121115684509277
3269,401.0,192.0,2.3659839630126953
3279,151.0,209.0,2.7376656532287598
3318,168.0,202.0,2.5517008304595947
3364,134.0,7.0,0.9582610130310059
3452,486.0,208.0,2.9690535068511963
3459,249.0,189.0,2.4908225536346436
3472,134.0,7.0,0.926440954208374
3492,145.0,212.0,2.8762447834014893
3513,215.0,209.0,2.8579699993133545
3533,134.0,7.0,1.8208324909210205
3560,440.0,201.0,2.388587236404419
3607,201.0,210.0,2.699230909347534
3614,161.0,205.0,2.440507411956787
3659,537.0,204.0,2.385997772216797
3685,201.0,198.0,2.72259521484375
3692,175.0,222.0,2.951592445373535
3821,180.0,202.0,2.4563164710998535
3869,194.0,183.0,2.058974504470825
3904,161.0,194.0,2.461531400680542
3942,295.0,205.0,2.331263780593872
